segment_local_departure_date,meal_time,cabin_class,meal_name,segment,year_month,meal_pref
2024-06-13 00:00:00,Dinner,S,"PEY,lamb shanks,potato mash,carrot baton,broccoli",AKL BKK,2024-06,Lamb
2024-06-13 00:00:00,Dinner,S,"PEY,chix,fried rice,ginger garlic sauce,kailan,carrot,mushroom",AKL BKK,2024-06,Chicken
2024-06-13 00:00:00,Lunch,S,"PEY, salmon, orecchiette,sundried tomato, pesto cream,panko mix",AKL BKK,2024-06,Seafood
2024-06-13 00:00:00,Lunch,S,"PEY, beef fillet, thyme jus, baby potato, long bean",AKL BKK,2024-06,Beef
2024-06-13 00:00:00,Dinner,Y,"AKL/CHC,chicken tikka masala,basmati rice,veg jalfrezi",AKL BKK,2024-06,Chicken
2024-06-13 00:00:00,Dinner,Y,"Palak paneer,channa masala,subzi pulao",AKL BKK,2024-06,Vegetarian
2024-06-13 00:00:00,Dinner,Y,"AKL/CHC,beef brisket,red wine veg,mash potato",AKL BKK,2024-06,Beef
2024-06-13 00:00:00,Lunch,Y,"AKL/CHC,beef rendang,coconut rice,veg",AKL BKK,2024-06,Beef
2024-06-13 00:00:00,Lunch,Y,"AKL/CHC,chciken roasted, mashed potato,carrot,brocolli",AKL BKK,2024-06,Chicken
2024-06-13 00:00:00,Lunch,Y,"AKl/CHC,veg korma, cumin rice",AKL BKK,2024-06,Vegetarian
2024-06-14 00:00:00,Dinner,J,"AKL,roast duck,plum sauce,stir fry veg,garlic fried rice",AKL BKK,2024-06,Chicken
2024-06-14 00:00:00,Dinner,J,"AKL,beef fillet,bernaise,brocolli, gratin potato",AKL BKK,2024-06,Beef
2024-06-14 00:00:00,Dinner,J,"AKL,lamb loin,leek,crushed pea,potato",AKL BKK,2024-06,Lamb
2024-06-14 00:00:00,Lunch,J,"Wokfried beef black bean sauce,vegetables,egg noodle,SWP",AKL BKK,2024-06,Beef
2024-06-14 00:00:00,Lunch,J,"AKL/CHC,salmon,garlic sauce,capsicum,brocoli,baby potato",AKL BKK,2024-06,Seafood
2024-06-14 00:00:00,Lunch,J,"MM18, roasted duck,gastrique,orange,lettuce",AKL BKK,2024-06,Chicken
2024-06-14 00:00:00,Lunch,J,"AKL/CHC,chicken,pineapple bbq sauce,turnip,zuchini,eggplant",AKL BKK,2024-06,Chicken
2024-06-14 00:00:00,Dinner,S,"PEY,chix,fried rice,ginger garlic sauce,kailan,carrot,mushroom",AKL BKK,2024-06,Chicken
2024-06-14 00:00:00,Dinner,S,"PEY,lamb shanks,potato mash,carrot baton,broccoli",AKL BKK,2024-06,Lamb
2024-06-14 00:00:00,Lunch,S,"PEY, salmon, orecchiette,sundried tomato, pesto cream,panko mix",AKL BKK,2024-06,Seafood
2024-06-14 00:00:00,Lunch,S,"PEY, beef fillet, thyme jus, baby potato, long bean",AKL BKK,2024-06,Beef
2024-06-14 00:00:00,Dinner,Y,"AKL/CHC,chicken tikka masala,basmati rice,veg jalfrezi",AKL BKK,2024-06,Chicken
2024-06-14 00:00:00,Dinner,Y,"AKL/CHC,beef brisket,red wine veg,mash potato",AKL BKK,2024-06,Beef
2024-06-14 00:00:00,Dinner,Y,"Palak paneer,channa masala,subzi pulao",AKL BKK,2024-06,Vegetarian
2024-06-14 00:00:00,Lunch,Y,"AKL/CHC,chciken roasted, mashed potato,carrot,brocolli",AKL BKK,2024-06,Chicken
2024-06-14 00:00:00,Lunch,Y,"AKl/CHC,veg korma, cumin rice",AKL BKK,2024-06,Vegetarian
2024-06-14 00:00:00,Lunch,Y,"AKL/CHC,beef rendang,coconut rice,veg",AKL BKK,2024-06,Beef
2024-06-15 00:00:00,Dinner,J,"AKL,beef fillet,bernaise,brocolli, gratin potato",AKL BKK,2024-06,Beef
2024-06-15 00:00:00,Dinner,J,"AKL,lamb loin,leek,crushed pea,potato",AKL BKK,2024-06,Lamb
2024-06-15 00:00:00,Dinner,J,"AKL,roast duck,plum sauce,stir fry veg,garlic fried rice",AKL BKK,2024-06,Chicken
2024-06-15 00:00:00,Lunch,J,"MM18, roasted duck,gastrique,orange,lettuce",AKL BKK,2024-06,Chicken
2024-06-15 00:00:00,Lunch,J,"AKL/CHC,chicken,pineapple bbq sauce,turnip,zuchini,eggplant",AKL BKK,2024-06,Chicken
2024-06-15 00:00:00,Lunch,J,"Wokfried beef black bean sauce,vegetables,egg noodle,SWP",AKL BKK,2024-06,Beef
2024-06-15 00:00:00,Lunch,J,"AKL/CHC,salmon,garlic sauce,capsicum,brocoli,baby potato",AKL BKK,2024-06,Seafood
2024-06-15 00:00:00,Dinner,S,"PEY,lamb shanks,potato mash,carrot baton,broccoli",AKL BKK,2024-06,Lamb
2024-06-15 00:00:00,Dinner,S,"PEY,chix,fried rice,ginger garlic sauce,kailan,carrot,mushroom",AKL BKK,2024-06,Chicken
2024-06-15 00:00:00,Lunch,S,"PEY, beef fillet, thyme jus, baby potato, long bean",AKL BKK,2024-06,Beef
2024-06-15 00:00:00,Lunch,S,"PEY, salmon, orecchiette,sundried tomato, pesto cream,panko mix",AKL BKK,2024-06,Seafood
2024-06-15 00:00:00,Dinner,Y,"Palak paneer,channa masala,subzi pulao",AKL BKK,2024-06,Vegetarian
2024-06-15 00:00:00,Dinner,Y,"AKL/CHC,chicken tikka masala,basmati rice,veg jalfrezi",AKL BKK,2024-06,Chicken
2024-06-15 00:00:00,Dinner,Y,"AKL/CHC,beef brisket,red wine veg,mash potato",AKL BKK,2024-06,Beef
2024-06-15 00:00:00,Lunch,Y,"AKL/CHC,chciken roasted, mashed potato,carrot,brocolli",AKL BKK,2024-06,Chicken
2024-06-15 00:00:00,Lunch,Y,"AKL/CHC,beef rendang,coconut rice,veg",AKL BKK,2024-06,Beef
2024-06-15 00:00:00,Lunch,Y,"AKl/CHC,veg korma, cumin rice",AKL BKK,2024-06,Vegetarian
2024-06-16 00:00:00,Dinner,J,"AKL,roast duck,plum sauce,stir fry veg,garlic fried rice",AKL BKK,2024-06,Chicken
2024-06-16 00:00:00,Dinner,J,"AKL,beef fillet,bernaise,brocolli, gratin potato",AKL BKK,2024-06,Beef
2024-06-16 00:00:00,Dinner,J,"AKL,lamb loin,leek,crushed pea,potato",AKL BKK,2024-06,Lamb
2024-06-16 00:00:00,Lunch,J,"AKL/CHC,salmon,garlic sauce,capsicum,brocoli,baby potato",AKL BKK,2024-06,Seafood
2024-06-16 00:00:00,Lunch,J,"MM18, roasted duck,gastrique,orange,lettuce",AKL BKK,2024-06,Chicken
2024-06-16 00:00:00,Lunch,J,"AKL/CHC,chicken,pineapple bbq sauce,turnip,zuchini,eggplant",AKL BKK,2024-06,Chicken
2024-06-16 00:00:00,Lunch,J,"Wokfried beef black bean sauce,vegetables,egg noodle,SWP",AKL BKK,2024-06,Beef
2024-06-16 00:00:00,Dinner,S,"PEY,chix,fried rice,ginger garlic sauce,kailan,carrot,mushroom",AKL BKK,2024-06,Chicken
2024-06-16 00:00:00,Dinner,S,"PEY,lamb shanks,potato mash,carrot baton,broccoli",AKL BKK,2024-06,Lamb
2024-06-16 00:00:00,Lunch,S,"PEY, beef fillet, thyme jus, baby potato, long bean",AKL BKK,2024-06,Beef
2024-06-16 00:00:00,Lunch,S,"PEY, salmon, orecchiette,sundried tomato, pesto cream,panko mix",AKL BKK,2024-06,Seafood
2024-06-16 00:00:00,Dinner,Y,"Palak paneer,channa masala,subzi pulao",AKL BKK,2024-06,Vegetarian
2024-06-16 00:00:00,Dinner,Y,"AKL/CHC,chicken tikka masala,basmati rice,veg jalfrezi",AKL BKK,2024-06,Chicken
2024-06-16 00:00:00,Dinner,Y,"AKL/CHC,beef brisket,red wine veg,mash potato",AKL BKK,2024-06,Beef
2024-06-16 00:00:00,Lunch,Y,"AKL/CHC,chciken roasted, mashed potato,carrot,brocolli",AKL BKK,2024-06,Chicken
2024-06-16 00:00:00,Lunch,Y,"AKl/CHC,veg korma, cumin rice",AKL BKK,2024-06,Vegetarian
2024-06-16 00:00:00,Lunch,Y,"AKL/CHC,beef rendang,coconut rice,veg",AKL BKK,2024-06,Beef
2024-06-17 00:00:00,Dinner,J,"AKL,beef fillet,bernaise,brocolli, gratin potato",AKL BKK,2024-06,Beef
2024-06-17 00:00:00,Dinner,J,"AKL,roast duck,plum sauce,stir fry veg,garlic fried rice",AKL BKK,2024-06,Chicken
2024-06-17 00:00:00,Dinner,J,"AKL,lamb loin,leek,crushed pea,potato",AKL BKK,2024-06,Lamb
2024-06-17 00:00:00,Lunch,J,"Wokfried beef black bean sauce,vegetables,egg noodle,SWP",AKL BKK,2024-06,Beef
2024-06-17 00:00:00,Lunch,J,"AKL/CHC,salmon,garlic sauce,capsicum,brocoli,baby potato",AKL BKK,2024-06,Seafood
2024-06-17 00:00:00,Lunch,J,"MM18, roasted duck,gastrique,orange,lettuce",AKL BKK,2024-06,Chicken
2024-06-17 00:00:00,Lunch,J,"AKL/CHC,chicken,pineapple bbq sauce,turnip,zuchini,eggplant",AKL BKK,2024-06,Chicken
2024-06-17 00:00:00,Dinner,S,"PEY,lamb shanks,potato mash,carrot baton,broccoli",AKL BKK,2024-06,Lamb
2024-06-17 00:00:00,Dinner,S,"PEY,chix,fried rice,ginger garlic sauce,kailan,carrot,mushroom",AKL BKK,2024-06,Chicken
2024-06-17 00:00:00,Lunch,S,"PEY, beef fillet, thyme jus, baby potato, long bean",AKL BKK,2024-06,Beef
2024-06-17 00:00:00,Lunch,S,"PEY, salmon, orecchiette,sundried tomato, pesto cream,panko mix",AKL BKK,2024-06,Seafood
2024-06-17 00:00:00,Dinner,Y,"AKL/CHC,beef brisket,red wine veg,mash potato",AKL BKK,2024-06,Beef
2024-06-17 00:00:00,Dinner,Y,"AKL/CHC,chicken tikka masala,basmati rice,veg jalfrezi",AKL BKK,2024-06,Chicken
2024-06-17 00:00:00,Dinner,Y,"Palak paneer,channa masala,subzi pulao",AKL BKK,2024-06,Vegetarian
2024-06-17 00:00:00,Lunch,Y,"AKL/CHC,beef rendang,coconut rice,veg",AKL BKK,2024-06,Beef
2024-06-17 00:00:00,Lunch,Y,"AKL/CHC,chciken roasted, mashed potato,carrot,brocolli",AKL BKK,2024-06,Chicken
2024-06-17 00:00:00,Lunch,Y,"AKl/CHC,veg korma, cumin rice",AKL BKK,2024-06,Vegetarian
2024-06-18 00:00:00,Dinner,J,"AKL,beef fillet,bernaise,brocolli, gratin potato",AKL BKK,2024-06,Beef
2024-06-18 00:00:00,Dinner,J,"AKL,roast duck,plum sauce,stir fry veg,garlic fried rice",AKL BKK,2024-06,Chicken
2024-06-18 00:00:00,Dinner,J,"AKL,lamb loin,leek,crushed pea,potato",AKL BKK,2024-06,Lamb
2024-06-18 00:00:00,Lunch,J,"AKL/CHC,chicken,pineapple bbq sauce,turnip,zuchini,eggplant",AKL BKK,2024-06,Chicken
2024-06-18 00:00:00,Lunch,J,"Wokfried beef black bean sauce,vegetables,egg noodle,SWP",AKL BKK,2024-06,Beef
2024-06-18 00:00:00,Lunch,J,"MM18, roasted duck,gastrique,orange,lettuce",AKL BKK,2024-06,Chicken
2024-06-18 00:00:00,Lunch,J,"AKL/CHC,salmon,garlic sauce,capsicum,brocoli,baby potato",AKL BKK,2024-06,Seafood
2024-06-18 00:00:00,Dinner,S,"PEY,chix,fried rice,ginger garlic sauce,kailan,carrot,mushroom",AKL BKK,2024-06,Chicken
2024-06-18 00:00:00,Dinner,S,"PEY,lamb shanks,potato mash,carrot baton,broccoli",AKL BKK,2024-06,Lamb
2024-06-18 00:00:00,Lunch,S,"PEY, beef fillet, thyme jus, baby potato, long bean",AKL BKK,2024-06,Beef
2024-06-18 00:00:00,Lunch,S,"PEY, salmon, orecchiette,sundried tomato, pesto cream,panko mix",AKL BKK,2024-06,Seafood
2024-06-18 00:00:00,Dinner,Y,"Palak paneer,channa masala,subzi pulao",AKL BKK,2024-06,Vegetarian
2024-06-18 00:00:00,Dinner,Y,"AKL/CHC,chicken tikka masala,basmati rice,veg jalfrezi",AKL BKK,2024-06,Chicken
2024-06-18 00:00:00,Dinner,Y,"AKL/CHC,beef brisket,red wine veg,mash potato",AKL BKK,2024-06,Beef
2024-06-18 00:00:00,Lunch,Y,"AKL/CHC,chciken roasted, mashed potato,carrot,brocolli",AKL BKK,2024-06,Chicken
2024-06-18 00:00:00,Lunch,Y,"AKL/CHC,beef rendang,coconut rice,veg",AKL BKK,2024-06,Beef
2024-06-18 00:00:00,Lunch,Y,"AKl/CHC,veg korma, cumin rice",AKL BKK,2024-06,Vegetarian
2024-06-19 00:00:00,Dinner,J,"AKL,lamb loin,leek,crushed pea,potato",AKL BKK,2024-06,Lamb
2024-06-19 00:00:00,Dinner,J,"AKL,beef fillet,bernaise,brocolli, gratin potato",AKL BKK,2024-06,Beef
2024-06-19 00:00:00,Dinner,J,"AKL,roast duck,plum sauce,stir fry veg,garlic fried rice",AKL BKK,2024-06,Chicken
2024-06-19 00:00:00,Lunch,J,"MM18, roasted duck,gastrique,orange,lettuce",AKL BKK,2024-06,Chicken
2024-06-19 00:00:00,Lunch,J,"Wokfried beef black bean sauce,vegetables,egg noodle,SWP",AKL BKK,2024-06,Beef
2024-06-19 00:00:00,Lunch,J,"AKL/CHC,chicken,pineapple bbq sauce,turnip,zuchini,eggplant",AKL BKK,2024-06,Chicken
2024-06-19 00:00:00,Lunch,J,"AKL/CHC,salmon,garlic sauce,capsicum,brocoli,baby potato",AKL BKK,2024-06,Seafood
2024-06-19 00:00:00,Dinner,S,"PEY,chix,fried rice,ginger garlic sauce,kailan,carrot,mushroom",AKL BKK,2024-06,Chicken
2024-06-19 00:00:00,Dinner,S,"PEY,lamb shanks,potato mash,carrot baton,broccoli",AKL BKK,2024-06,Lamb
2024-06-19 00:00:00,Lunch,S,"PEY, salmon, orecchiette,sundried tomato, pesto cream,panko mix",AKL BKK,2024-06,Seafood
2024-06-19 00:00:00,Lunch,S,"PEY, beef fillet, thyme jus, baby potato, long bean",AKL BKK,2024-06,Beef
2024-06-19 00:00:00,Dinner,Y,"AKL/CHC,chicken tikka masala,basmati rice,veg jalfrezi",AKL BKK,2024-06,Chicken
2024-06-19 00:00:00,Dinner,Y,"AKL/CHC,beef brisket,red wine veg,mash potato",AKL BKK,2024-06,Beef
2024-06-19 00:00:00,Dinner,Y,"Palak paneer,channa masala,subzi pulao",AKL BKK,2024-06,Vegetarian
2024-06-19 00:00:00,Lunch,Y,"AKL/CHC,chciken roasted, mashed potato,carrot,brocolli",AKL BKK,2024-06,Chicken
2024-06-19 00:00:00,Lunch,Y,"AKl/CHC,veg korma, cumin rice",AKL BKK,2024-06,Vegetarian
2024-06-19 00:00:00,Lunch,Y,"AKL/CHC,beef rendang,coconut rice,veg",AKL BKK,2024-06,Beef
2024-06-20 00:00:00,Dinner,J,"AKL,lamb loin,leek,crushed pea,potato",AKL BKK,2024-06,Lamb
2024-06-20 00:00:00,Dinner,J,"AKL,roast duck,plum sauce,stir fry veg,garlic fried rice",AKL BKK,2024-06,Chicken
2024-06-20 00:00:00,Dinner,J,"AKL,beef fillet,bernaise,brocolli, gratin potato",AKL BKK,2024-06,Beef
2024-06-20 00:00:00,Lunch,J,"MM18, roasted duck,gastrique,orange,lettuce",AKL BKK,2024-06,Chicken
2024-06-20 00:00:00,Lunch,J,"Wokfried beef black bean sauce,vegetables,egg noodle,SWP",AKL BKK,2024-06,Beef
2024-06-20 00:00:00,Lunch,J,"AKL/CHC,salmon,garlic sauce,capsicum,brocoli,baby potato",AKL BKK,2024-06,Seafood
2024-06-20 00:00:00,Lunch,J,"AKL/CHC,chicken,pineapple bbq sauce,turnip,zuchini,eggplant",AKL BKK,2024-06,Chicken
2024-06-20 00:00:00,Dinner,S,"PEY,lamb shanks,potato mash,carrot baton,broccoli",AKL BKK,2024-06,Lamb
2024-06-20 00:00:00,Dinner,S,"PEY,chix,fried rice,ginger garlic sauce,kailan,carrot,mushroom",AKL BKK,2024-06,Chicken
2024-06-20 00:00:00,Lunch,S,"PEY, beef fillet, thyme jus, baby potato, long bean",AKL BKK,2024-06,Beef
2024-06-20 00:00:00,Lunch,S,"PEY, salmon, orecchiette,sundried tomato, pesto cream,panko mix",AKL BKK,2024-06,Seafood
2024-06-20 00:00:00,Dinner,Y,"Palak paneer,channa masala,subzi pulao",AKL BKK,2024-06,Vegetarian
2024-06-20 00:00:00,Dinner,Y,"AKL/CHC,beef brisket,red wine veg,mash potato",AKL BKK,2024-06,Beef
2024-06-20 00:00:00,Dinner,Y,"AKL/CHC,chicken tikka masala,basmati rice,veg jalfrezi",AKL BKK,2024-06,Chicken
2024-06-20 00:00:00,Lunch,Y,"AKL/CHC,beef rendang,coconut rice,veg",AKL BKK,2024-06,Beef
2024-06-20 00:00:00,Lunch,Y,"AKl/CHC,veg korma, cumin rice",AKL BKK,2024-06,Vegetarian
2024-06-20 00:00:00,Lunch,Y,"AKL/CHC,chciken roasted, mashed potato,carrot,brocolli",AKL BKK,2024-06,Chicken
2024-06-21 00:00:00,Dinner,J,"AKL,beef fillet,bernaise,brocolli, gratin potato",AKL BKK,2024-06,Beef
2024-06-21 00:00:00,Dinner,J,"AKL,roast duck,plum sauce,stir fry veg,garlic fried rice",AKL BKK,2024-06,Chicken
2024-06-21 00:00:00,Dinner,J,"AKL,lamb loin,leek,crushed pea,potato",AKL BKK,2024-06,Lamb
2024-06-21 00:00:00,Lunch,J,"MM18, roasted duck,gastrique,orange,lettuce",AKL BKK,2024-06,Chicken
2024-06-21 00:00:00,Lunch,J,"Wokfried beef black bean sauce,vegetables,egg noodle,SWP",AKL BKK,2024-06,Beef
2024-06-21 00:00:00,Lunch,J,"AKL/CHC,salmon,garlic sauce,capsicum,brocoli,baby potato",AKL BKK,2024-06,Seafood
2024-06-21 00:00:00,Lunch,J,"AKL/CHC,chicken,pineapple bbq sauce,turnip,zuchini,eggplant",AKL BKK,2024-06,Chicken
2024-06-21 00:00:00,Dinner,S,"PEY,chix,fried rice,ginger garlic sauce,kailan,carrot,mushroom",AKL BKK,2024-06,Chicken
2024-06-21 00:00:00,Dinner,S,"PEY,lamb shanks,potato mash,carrot baton,broccoli",AKL BKK,2024-06,Lamb
2024-06-21 00:00:00,Lunch,S,"PEY, beef fillet, thyme jus, baby potato, long bean",AKL BKK,2024-06,Beef
2024-06-21 00:00:00,Lunch,S,"PEY, salmon, orecchiette,sundried tomato, pesto cream,panko mix",AKL BKK,2024-06,Seafood
2024-06-21 00:00:00,Dinner,Y,"Palak paneer,channa masala,subzi pulao",AKL BKK,2024-06,Vegetarian
2024-06-21 00:00:00,Dinner,Y,"AKL/CHC,chicken tikka masala,basmati rice,veg jalfrezi",AKL BKK,2024-06,Chicken
2024-06-21 00:00:00,Dinner,Y,"AKL/CHC,beef brisket,red wine veg,mash potato",AKL BKK,2024-06,Beef
2024-06-21 00:00:00,Lunch,Y,"AKL/CHC,beef rendang,coconut rice,veg",AKL BKK,2024-06,Beef
2024-06-21 00:00:00,Lunch,Y,"AKL/CHC,chciken roasted, mashed potato,carrot,brocolli",AKL BKK,2024-06,Chicken
2024-06-21 00:00:00,Lunch,Y,"AKl/CHC,veg korma, cumin rice",AKL BKK,2024-06,Vegetarian
2024-06-22 00:00:00,Dinner,J,"AKL,lamb loin,leek,crushed pea,potato",AKL BKK,2024-06,Lamb
2024-06-22 00:00:00,Dinner,J,"AKL,beef fillet,bernaise,brocolli, gratin potato",AKL BKK,2024-06,Beef
2024-06-22 00:00:00,Dinner,J,"AKL,roast duck,plum sauce,stir fry veg,garlic fried rice",AKL BKK,2024-06,Chicken
2024-06-22 00:00:00,Lunch,J,"Wokfried beef black bean sauce,vegetables,egg noodle,SWP",AKL BKK,2024-06,Beef
2024-06-22 00:00:00,Lunch,J,"MM18, roasted duck,gastrique,orange,lettuce",AKL BKK,2024-06,Chicken
2024-06-22 00:00:00,Lunch,J,"AKL/CHC,salmon,garlic sauce,capsicum,brocoli,baby potato",AKL BKK,2024-06,Seafood
2024-06-22 00:00:00,Lunch,J,"AKL/CHC,chicken,pineapple bbq sauce,turnip,zuchini,eggplant",AKL BKK,2024-06,Chicken
2024-06-22 00:00:00,Dinner,S,"PEY,lamb shanks,potato mash,carrot baton,broccoli",AKL BKK,2024-06,Lamb
2024-06-22 00:00:00,Dinner,S,"PEY,chix,fried rice,ginger garlic sauce,kailan,carrot,mushroom",AKL BKK,2024-06,Chicken
2024-06-22 00:00:00,Lunch,S,"PEY, beef fillet, thyme jus, baby potato, long bean",AKL BKK,2024-06,Beef
2024-06-22 00:00:00,Lunch,S,"PEY, salmon, orecchiette,sundried tomato, pesto cream,panko mix",AKL BKK,2024-06,Seafood
2024-06-22 00:00:00,Dinner,Y,"Palak paneer,channa masala,subzi pulao",AKL BKK,2024-06,Vegetarian
2024-06-22 00:00:00,Dinner,Y,"AKL/CHC,beef brisket,red wine veg,mash potato",AKL BKK,2024-06,Beef
2024-06-22 00:00:00,Dinner,Y,"AKL/CHC,chicken tikka masala,basmati rice,veg jalfrezi",AKL BKK,2024-06,Chicken
2024-06-22 00:00:00,Lunch,Y,"AKl/CHC,veg korma, cumin rice",AKL BKK,2024-06,Vegetarian
2024-06-22 00:00:00,Lunch,Y,"AKL/CHC,chciken roasted, mashed potato,carrot,brocolli",AKL BKK,2024-06,Chicken
2024-06-22 00:00:00,Lunch,Y,"AKL/CHC,beef rendang,coconut rice,veg",AKL BKK,2024-06,Beef
2024-06-23 00:00:00,Dinner,J,"AKL,lamb loin,leek,crushed pea,potato",AKL BKK,2024-06,Lamb
2024-06-23 00:00:00,Dinner,J,"AKL,roast duck,plum sauce,stir fry veg,garlic fried rice",AKL BKK,2024-06,Chicken
2024-06-23 00:00:00,Dinner,J,"AKL,beef fillet,bernaise,brocolli, gratin potato",AKL BKK,2024-06,Beef
2024-06-23 00:00:00,Lunch,J,"MM18, roasted duck,gastrique,orange,lettuce",AKL BKK,2024-06,Chicken
2024-06-23 00:00:00,Lunch,J,"AKL/CHC,salmon,garlic sauce,capsicum,brocoli,baby potato",AKL BKK,2024-06,Seafood
2024-06-23 00:00:00,Lunch,J,"Wokfried beef black bean sauce,vegetables,egg noodle,SWP",AKL BKK,2024-06,Beef
2024-06-23 00:00:00,Lunch,J,"AKL/CHC,chicken,pineapple bbq sauce,turnip,zuchini,eggplant",AKL BKK,2024-06,Chicken
2024-06-23 00:00:00,Dinner,S,"PEY,lamb shanks,potato mash,carrot baton,broccoli",AKL BKK,2024-06,Lamb
2024-06-23 00:00:00,Dinner,S,"PEY,chix,fried rice,ginger garlic sauce,kailan,carrot,mushroom",AKL BKK,2024-06,Chicken
2024-06-23 00:00:00,Lunch,S,"PEY, beef fillet, thyme jus, baby potato, long bean",AKL BKK,2024-06,Beef
2024-06-23 00:00:00,Lunch,S,"PEY, salmon, orecchiette,sundried tomato, pesto cream,panko mix",AKL BKK,2024-06,Seafood
2024-06-23 00:00:00,Dinner,Y,"AKL/CHC,beef brisket,red wine veg,mash potato",AKL BKK,2024-06,Beef
2024-06-23 00:00:00,Dinner,Y,"Palak paneer,channa masala,subzi pulao",AKL BKK,2024-06,Vegetarian
2024-06-23 00:00:00,Dinner,Y,"AKL/CHC,chicken tikka masala,basmati rice,veg jalfrezi",AKL BKK,2024-06,Chicken
2024-06-23 00:00:00,Lunch,Y,"AKl/CHC,veg korma, cumin rice",AKL BKK,2024-06,Vegetarian
2024-06-23 00:00:00,Lunch,Y,"AKL/CHC,chciken roasted, mashed potato,carrot,brocolli",AKL BKK,2024-06,Chicken
2024-06-23 00:00:00,Lunch,Y,"AKL/CHC,beef rendang,coconut rice,veg",AKL BKK,2024-06,Beef
2024-06-24 00:00:00,Dinner,J,"AKL,roast duck,plum sauce,stir fry veg,garlic fried rice",AKL BKK,2024-06,Chicken
2024-06-24 00:00:00,Dinner,J,"AKL,lamb loin,leek,crushed pea,potato",AKL BKK,2024-06,Lamb
2024-06-24 00:00:00,Dinner,J,"AKL,beef fillet,bernaise,brocolli, gratin potato",AKL BKK,2024-06,Beef
2024-06-24 00:00:00,Lunch,J,"MM18, roasted duck,gastrique,orange,lettuce",AKL BKK,2024-06,Chicken
2024-06-24 00:00:00,Lunch,J,"Wokfried beef black bean sauce,vegetables,egg noodle,SWP",AKL BKK,2024-06,Beef
2024-06-24 00:00:00,Lunch,J,"AKL/CHC,salmon,garlic sauce,capsicum,brocoli,baby potato",AKL BKK,2024-06,Seafood
2024-06-24 00:00:00,Lunch,J,"AKL/CHC,chicken,pineapple bbq sauce,turnip,zuchini,eggplant",AKL BKK,2024-06,Chicken
2024-06-24 00:00:00,Dinner,S,"PEY,chix,fried rice,ginger garlic sauce,kailan,carrot,mushroom",AKL BKK,2024-06,Chicken
2024-06-24 00:00:00,Dinner,S,"PEY,lamb shanks,potato mash,carrot baton,broccoli",AKL BKK,2024-06,Lamb
2024-06-24 00:00:00,Lunch,S,"PEY, salmon, orecchiette,sundried tomato, pesto cream,panko mix",AKL BKK,2024-06,Seafood
2024-06-24 00:00:00,Lunch,S,"PEY, beef fillet, thyme jus, baby potato, long bean",AKL BKK,2024-06,Beef
2024-06-24 00:00:00,Dinner,Y,"Palak paneer,channa masala,subzi pulao",AKL BKK,2024-06,Vegetarian
2024-06-24 00:00:00,Dinner,Y,"AKL/CHC,beef brisket,red wine veg,mash potato",AKL BKK,2024-06,Beef
2024-06-24 00:00:00,Dinner,Y,"AKL/CHC,chicken tikka masala,basmati rice,veg jalfrezi",AKL BKK,2024-06,Chicken
2024-06-24 00:00:00,Lunch,Y,"AKl/CHC,veg korma, cumin rice",AKL BKK,2024-06,Vegetarian
2024-06-24 00:00:00,Lunch,Y,"AKL/CHC,chciken roasted, mashed potato,carrot,brocolli",AKL BKK,2024-06,Chicken
2024-06-24 00:00:00,Lunch,Y,"AKL/CHC,beef rendang,coconut rice,veg",AKL BKK,2024-06,Beef
2024-06-25 00:00:00,Dinner,J,"AKL,lamb loin,leek,crushed pea,potato",AKL BKK,2024-06,Lamb
2024-06-25 00:00:00,Dinner,J,"AKL,beef fillet,bernaise,brocolli, gratin potato",AKL BKK,2024-06,Beef
2024-06-25 00:00:00,Dinner,J,"AKL,roast duck,plum sauce,stir fry veg,garlic fried rice",AKL BKK,2024-06,Chicken
2024-06-25 00:00:00,Lunch,J,"AKL/CHC,salmon,garlic sauce,capsicum,brocoli,baby potato",AKL BKK,2024-06,Seafood
2024-06-25 00:00:00,Lunch,J,"MM18, roasted duck,gastrique,orange,lettuce",AKL BKK,2024-06,Chicken
2024-06-25 00:00:00,Lunch,J,"AKL/CHC,chicken,pineapple bbq sauce,turnip,zuchini,eggplant",AKL BKK,2024-06,Chicken
2024-06-25 00:00:00,Lunch,J,"Wokfried beef black bean sauce,vegetables,egg noodle,SWP",AKL BKK,2024-06,Beef
2024-06-25 00:00:00,Dinner,S,"PEY,lamb shanks,potato mash,carrot baton,broccoli",AKL BKK,2024-06,Lamb
2024-06-25 00:00:00,Dinner,S,"PEY,chix,fried rice,ginger garlic sauce,kailan,carrot,mushroom",AKL BKK,2024-06,Chicken
2024-06-25 00:00:00,Lunch,S,"PEY, beef fillet, thyme jus, baby potato, long bean",AKL BKK,2024-06,Beef
2024-06-25 00:00:00,Lunch,S,"PEY, salmon, orecchiette,sundried tomato, pesto cream,panko mix",AKL BKK,2024-06,Seafood
2024-06-25 00:00:00,Dinner,Y,"AKL/CHC,chicken tikka masala,basmati rice,veg jalfrezi",AKL BKK,2024-06,Chicken
2024-06-25 00:00:00,Dinner,Y,"AKL/CHC,beef brisket,red wine veg,mash potato",AKL BKK,2024-06,Beef
2024-06-25 00:00:00,Dinner,Y,"Palak paneer,channa masala,subzi pulao",AKL BKK,2024-06,Vegetarian
2024-06-25 00:00:00,Lunch,Y,"AKl/CHC,veg korma, cumin rice",AKL BKK,2024-06,Vegetarian
